epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.19038,2.16863,4.22321,1.72339,0.004,0.86667,0.00597,0.00267,1.70851,3.61963,1.25687,0.0006,0.0006,0.0006
2,10.1387,1.76333,2.4102,1.34521,0.00353,0.76471,0.19611,0.0913,1.63207,3.46552,1.39497,0.00120792,0.00120792,0.00120792
3,14.006,1.7365,2.07811,1.38721,0.59588,0.38039,0.45901,0.2152,1.89929,2.37704,1.64917,0.00180357,0.00180357,0.00180357
4,17.8233,1.72207,1.89256,1.43615,0.54313,0.43356,0.45423,0.2219,1.76593,2.09497,1.55578,0.0019406,0.0019406,0.0019406
5,21.5823,1.68714,1.57733,1.36637,0.76494,0.57647,0.65886,0.33945,1.65016,1.58963,1.435,0.0019208,0.0019208,0.0019208
6,25.363,1.64541,1.43583,1.37732,0.49863,0.2902,0.35777,0.18055,1.83634,2.15386,1.4878,0.001901,0.001901,0.001901
7,29.1097,1.70128,1.33936,1.37966,0.75409,0.56078,0.63651,0.3237,1.66789,1.69401,1.45211,0.0018812,0.0018812,0.0018812
8,32.8745,1.64736,1.28819,1.35389,0.83387,0.6,0.74829,0.39582,1.61587,1.39353,1.40659,0.0018614,0.0018614,0.0018614
9,36.6219,1.59699,1.18537,1.3586,0.79229,0.58431,0.70197,0.36667,1.64095,1.4329,1.42443,0.0018416,0.0018416,0.0018416
10,40.447,1.58775,1.11903,1.33233,0.87064,0.63529,0.74332,0.38503,1.6317,1.24564,1.4236,0.0018218,0.0018218,0.0018218
11,44.2332,1.57236,1.07389,1.31118,0.87155,0.66523,0.75991,0.42033,1.55151,1.23741,1.36591,0.001802,0.001802,0.001802
12,48.0538,1.55908,1.03409,1.29411,0.86883,0.6549,0.7637,0.4059,1.5947,1.21775,1.3967,0.0017822,0.0017822,0.0017822
13,52.2648,1.54539,1.03255,1.31911,0.8746,0.6564,0.79468,0.43929,1.53656,1.15565,1.34733,0.0017624,0.0017624,0.0017624
14,56.5038,1.55365,0.97608,1.27083,0.94714,0.62745,0.79116,0.45637,1.48351,1.13999,1.31093,0.0017426,0.0017426,0.0017426
15,60.6827,1.5452,0.94477,1.26773,0.84588,0.65882,0.75849,0.40368,1.60486,1.209,1.39552,0.0017228,0.0017228,0.0017228
16,64.8161,1.57008,0.97566,1.3119,0.92998,0.62499,0.78616,0.45776,1.52478,1.09897,1.33701,0.001703,0.001703,0.001703
17,68.992,1.55227,0.90688,1.29887,0.85115,0.67059,0.81384,0.46523,1.49016,1.07997,1.32587,0.0016832,0.0016832,0.0016832
18,73.2126,1.52843,0.92732,1.27975,0.93784,0.65089,0.79116,0.45231,1.49584,1.21274,1.31997,0.0016634,0.0016634,0.0016634
19,77.3327,1.50456,0.89882,1.26419,0.95621,0.65098,0.76597,0.45318,1.47908,1.17579,1.30836,0.0016436,0.0016436,0.0016436
20,81.5853,1.48711,0.87707,1.26797,0.95902,0.6549,0.81571,0.45327,1.55349,1.0408,1.33711,0.0016238,0.0016238,0.0016238
21,85.5793,1.47366,0.89219,1.25253,0.88903,0.69804,0.78557,0.44968,1.49313,1.07631,1.30912,0.001604,0.001604,0.001604
22,89.3738,1.45726,0.85615,1.24521,0.91979,0.67456,0.82546,0.47408,1.47939,1.01446,1.31297,0.0015842,0.0015842,0.0015842
23,93.1141,1.47801,0.86232,1.26163,0.87696,0.70588,0.82183,0.47883,1.46283,1.04536,1.28939,0.0015644,0.0015644,0.0015644
24,96.8443,1.48573,0.88155,1.28758,0.90257,0.66275,0.79233,0.45241,1.56713,1.09052,1.34154,0.0015446,0.0015446,0.0015446
25,100.541,1.42645,0.8325,1.2085,0.9002,0.69412,0.8176,0.48015,1.51424,1.00729,1.30984,0.0015248,0.0015248,0.0015248
26,104.289,1.47533,0.83864,1.26185,0.87523,0.67843,0.80129,0.47236,1.46459,1.15736,1.29017,0.001505,0.001505,0.001505
27,108.184,1.44196,0.83714,1.23185,0.87438,0.67843,0.7893,0.44396,1.57909,1.11882,1.37021,0.0014852,0.0014852,0.0014852
28,111.91,1.4334,0.79196,1.24626,0.89329,0.66667,0.80649,0.46871,1.48115,1.02587,1.29534,0.0014654,0.0014654,0.0014654
29,115.62,1.41986,0.81756,1.22729,0.93119,0.64314,0.76765,0.45271,1.51063,1.16587,1.33974,0.0014456,0.0014456,0.0014456
30,119.34,1.45131,0.81402,1.23253,0.94422,0.66379,0.82867,0.48195,1.47573,0.95239,1.28962,0.0014258,0.0014258,0.0014258
31,123.06,1.44768,0.81301,1.22771,0.94085,0.68614,0.81541,0.4858,1.4892,1.06762,1.30061,0.001406,0.001406,0.001406
32,126.812,1.40543,0.8109,1.23043,0.93531,0.68036,0.80794,0.48068,1.4807,0.9832,1.29287,0.0013862,0.0013862,0.0013862
33,130.552,1.40445,0.78223,1.21177,0.90761,0.65098,0.81763,0.48422,1.50847,1.03477,1.32577,0.0013664,0.0013664,0.0013664
34,134.261,1.41118,0.78194,1.23272,0.90185,0.64864,0.78432,0.46245,1.52434,1.0906,1.32048,0.0013466,0.0013466,0.0013466
35,137.981,1.40104,0.77745,1.21605,0.91053,0.68235,0.81826,0.51053,1.41,0.99379,1.26786,0.0013268,0.0013268,0.0013268
36,141.726,1.35702,0.75066,1.18031,0.91484,0.67409,0.79555,0.48557,1.39018,1.05486,1.26447,0.001307,0.001307,0.001307
37,145.438,1.40199,0.74441,1.21104,0.94909,0.68235,0.82174,0.49347,1.41509,0.97263,1.25692,0.0012872,0.0012872,0.0012872
38,149.174,1.38553,0.7468,1.20621,0.94023,0.67059,0.80614,0.49424,1.3982,1.01045,1.24918,0.0012674,0.0012674,0.0012674
39,153.086,1.34416,0.69764,1.18585,0.90619,0.68235,0.78733,0.48764,1.40317,1.21299,1.25711,0.0012476,0.0012476,0.0012476
40,156.829,1.37086,0.74011,1.21387,0.93318,0.65717,0.77675,0.47592,1.39393,1.1063,1.26212,0.0012278,0.0012278,0.0012278
41,160.537,1.34643,0.69806,1.17787,0.90362,0.66184,0.80096,0.49882,1.40492,1.00915,1.2593,0.001208,0.001208,0.001208
42,164.265,1.36994,0.70751,1.17345,0.93785,0.6509,0.81257,0.51679,1.37251,0.99837,1.2451,0.0011882,0.0011882,0.0011882
43,168.023,1.35971,0.71095,1.18323,0.93437,0.66996,0.80722,0.5106,1.38157,1.05222,1.25431,0.0011684,0.0011684,0.0011684
44,171.74,1.31222,0.72546,1.16426,0.91418,0.67059,0.77608,0.46413,1.468,1.142,1.29283,0.0011486,0.0011486,0.0011486
