epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.81099,2.28433,3.67751,1.67926,0.00482,0.765,0.00453,0.00174,2.2553,inf,2.55835,0.0775,0.0025,0.0025
2,10.1823,1.99708,1.93306,1.50379,0.00031,0.05,0.00017,7e-05,nan,nan,nan,0.0540495,0.00504951,0.00504951
3,14.8011,1.91055,1.7032,1.45608,3e-05,0.005,2e-05,0,nan,nan,nan,0.0305475,0.00754754,0.00754754
4,18.9303,1.92326,1.59222,1.45011,3e-05,0.005,2e-05,0,nan,nan,nan,0.009703,0.009703,0.009703
5,23.048,1.86535,1.49749,1.43336,0.21378,0.265,0.13473,0.0564,2.70619,3.73393,2.9962,0.009604,0.009604,0.009604
6,27.1071,1.83057,1.39781,1.41434,0.5509,0.33,0.35051,0.14353,2.09655,2.29666,1.89017,0.009505,0.009505,0.009505
7,31.1123,1.82021,1.43751,1.41436,0.22357,0.12,0.08347,0.02936,2.23146,4.31875,1.86315,0.009406,0.009406,0.009406
8,35.1198,1.74623,1.34185,1.35433,0.60823,0.49,0.48841,0.20995,2.05062,1.79358,1.76792,0.009307,0.009307,0.009307
9,39.3234,1.75907,1.28369,1.35273,0.83554,0.63508,0.74899,0.35631,1.78183,1.37665,1.52882,0.009208,0.009208,0.009208
10,43.3687,1.72707,1.24919,1.3583,0.66326,0.52,0.56817,0.26396,1.96194,1.79375,1.61986,0.009109,0.009109,0.009109
11,47.4525,1.73347,1.2687,1.35907,0.38987,0.24921,0.20137,0.07652,2.32485,4.62489,1.85695,0.00901,0.00901,0.00901
12,51.5434,1.70798,1.28159,1.33394,0.78393,0.645,0.75982,0.36705,1.76017,1.52686,1.5148,0.008911,0.008911,0.008911
13,55.5218,1.70474,1.23727,1.337,0.69532,0.68,0.7316,0.36604,1.70787,1.44235,1.48869,0.008812,0.008812,0.008812
14,59.5461,1.68834,1.12131,1.32785,0.62795,0.635,0.65702,0.31131,1.83556,1.53272,1.52398,0.008713,0.008713,0.008713
15,63.6379,1.69066,1.13919,1.32932,0.73857,0.685,0.75088,0.3419,1.78678,1.57077,1.48127,0.008614,0.008614,0.008614
16,67.8068,1.67226,1.12246,1.33243,0.71486,0.505,0.61083,0.26345,1.91698,1.77962,1.58788,0.008515,0.008515,0.008515
17,71.937,1.66622,1.13249,1.31145,0.79837,0.645,0.76006,0.39879,1.57498,1.47335,1.40513,0.008416,0.008416,0.008416
18,76.0009,1.6432,1.07137,1.29602,0.84023,0.76257,0.83586,0.43843,1.6235,1.33359,1.39957,0.008317,0.008317,0.008317
19,80.048,1.64222,1.03754,1.32047,0.86816,0.64,0.78057,0.39599,1.6315,1.27702,1.3866,0.008218,0.008218,0.008218
20,84.1375,1.61539,1.03458,1.28108,0.80177,0.74825,0.81412,0.44023,1.57813,1.10585,1.37412,0.008119,0.008119,0.008119
21,88.3731,1.64553,1.06175,1.28337,0.81769,0.69,0.79093,0.40987,1.62279,1.22816,1.39972,0.00802,0.00802,0.00802
22,92.4272,1.58805,0.991,1.26266,0.86111,0.745,0.81653,0.41886,1.65504,1.20955,1.4255,0.007921,0.007921,0.007921
23,96.5899,1.62757,0.96886,1.26743,0.85879,0.76023,0.84887,0.46194,1.59266,1.05169,1.38316,0.007822,0.007822,0.007822
24,100.572,1.62232,0.98262,1.29876,0.86623,0.74467,0.8424,0.45693,1.58967,1.10493,1.39496,0.007723,0.007723,0.007723
25,104.623,1.62494,0.94306,1.29319,0.73226,0.68376,0.73473,0.37573,1.7562,1.38317,1.49146,0.007624,0.007624,0.007624
26,108.732,1.63333,0.96719,1.27097,0.86983,0.67,0.77657,0.4004,1.71135,1.31679,1.43744,0.007525,0.007525,0.007525
27,112.874,1.56608,0.92443,1.26814,0.73377,0.61,0.65684,0.31991,1.797,1.36227,1.49827,0.007426,0.007426,0.007426
28,116.924,1.58966,0.93242,1.26138,0.86355,0.715,0.81675,0.39661,1.73317,1.07358,1.44252,0.007327,0.007327,0.007327
29,121.022,1.6229,0.94423,1.28497,0.89684,0.78,0.88793,0.46535,1.52785,0.99847,1.32892,0.007228,0.007228,0.007228
30,125.238,1.57229,0.90631,1.28599,0.89262,0.785,0.8719,0.47329,1.54958,0.99151,1.34216,0.007129,0.007129,0.007129
31,129.266,1.58425,0.96078,1.25356,0.67545,0.565,0.63667,0.33571,1.66525,1.6224,1.41597,0.00703,0.00703,0.00703
32,133.386,1.5434,0.94392,1.24439,0.84182,0.74,0.84328,0.45157,1.61778,1.17325,1.37846,0.006931,0.006931,0.006931
33,137.68,1.59114,0.91778,1.25137,0.81704,0.80383,0.8461,0.42513,1.62958,1.00749,1.39237,0.006832,0.006832,0.006832
34,141.847,1.53685,0.89187,1.23168,0.8958,0.6878,0.82452,0.41659,1.67454,1.13626,1.41639,0.006733,0.006733,0.006733
35,145.917,1.53861,0.88942,1.24109,0.91145,0.78,0.89525,0.4534,1.59067,0.94852,1.34756,0.006634,0.006634,0.006634
36,149.917,1.54368,0.8707,1.24533,0.91416,0.79871,0.89587,0.46331,1.57505,0.97745,1.35462,0.006535,0.006535,0.006535
37,154.065,1.52209,0.83822,1.24423,0.83676,0.85,0.88088,0.45957,1.59822,0.95981,1.35521,0.006436,0.006436,0.006436
38,158.196,1.54851,0.84452,1.27619,0.84517,0.755,0.85068,0.44345,1.60506,1.0683,1.34899,0.006337,0.006337,0.006337
39,162.18,1.50567,0.86279,1.22636,0.89251,0.83029,0.90523,0.49274,1.50665,0.90737,1.30748,0.006238,0.006238,0.006238
40,166.287,1.52769,0.83482,1.23789,0.85752,0.835,0.88559,0.45584,1.5222,1.02055,1.32038,0.006139,0.006139,0.006139
41,170.338,1.50068,0.84934,1.21598,0.86169,0.845,0.89923,0.47136,1.5913,0.95499,1.372,0.00604,0.00604,0.00604
42,174.335,1.49678,0.84707,1.2252,0.89606,0.83,0.91039,0.48362,1.59554,0.9725,1.35423,0.005941,0.005941,0.005941
43,178.756,1.48535,0.81327,1.23146,0.89175,0.82375,0.9085,0.49583,1.50236,0.9151,1.30338,0.005842,0.005842,0.005842
44,182.804,1.47084,0.80171,1.19876,0.86689,0.68385,0.81128,0.4468,1.54498,1.01657,1.31534,0.005743,0.005743,0.005743
